DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BY,2018,120053,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BY,2019,120470,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CH,2010,62649,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CH,2011,62091,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CH,2012,64173,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CH,2013,64961,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CH,2014,63938,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CH,2015,67606,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CH,2016,64964,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CH,2017,66971,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CH,2018,67088,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CH,2019,67780,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CH,2020,76195,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CH,2021,71192,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CY,2010,5103,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CY,2011,5504,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CY,2012,5665,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CY,2013,5141,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CY,2014,5424,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CY,2015,5859,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CY,2016,5471,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CY,2017,5996,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CY,2018,5768,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CY,2019,6239,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CY,2020,6422,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CY,2021,7202,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CZ,2010,106844,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CZ,2011,106848,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CZ,2012,108189,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CZ,2013,109160,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CZ,2014,105665,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CZ,2015,111173,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CZ,2016,107750,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CZ,2017,111443,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CZ,2018,112920,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CZ,2019,112362,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CZ,2020,129289,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,CZ,2021,139891,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,DE,2010,858768,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,DE,2011,852328,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,DE,2012,869582,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,DE,2013,893825,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,DE,2014,868356,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,DE,2015,925200,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,DE,2016,910902,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,DE,2017,932272,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,DE,2018,954874,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,DE,2019,939520,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,DE,2020,985572,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,DE,2021,1023687,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,DK,2010,54368,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,DK,2011,52516,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,DK,2012,52325,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,DK,2013,52470,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,DK,2014,51340,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,DK,2015,52555,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,DK,2016,52824,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,DK,2017,53261,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,DK,2018,55232,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,DK,2019,53958,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,DK,2020,54645,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,DK,2021,57152,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EA19,2010,3162030,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EA19,2011,3154503,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EA19,2012,3258137,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EA19,2013,3251031,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EA19,2014,3209109,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EA19,2015,3412516,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EA19,2016,3350011,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EA19,2017,3443923,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EA19,2018,3462649,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EA19,2019,3438580,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EA19,2020,3803323,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EA19,2021,3785411,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EA20,2021,3848123,
